Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Wallmark, Laurie",Ada Byron Lovelace & the Thinking Machine,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Ada Byron Lovelace & the Thinking Machine
"Ward, Sarah",Aesop Lake,Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,Aesop Lake
"Fuerst, Jeffrey",African American Cowboys: True Heroes of the Old West,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,African American Cowboys: True Heroes of the Old West
"Efaw, Amy",After,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,After
"Efaw, Amy",After,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2010,,,After
"Efaw, Amy",After,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2010,3,,After
"Glines, Abbi",After the Game,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2018,,,After the Game
"Todd, Anna",After We Collided,Cherokee County School District,Georgia,yes,,Formal Challenge Filed,banned,,Committee said book was not available in schools - BUT in these cases we've added them because intent was there.,,,,,,,After We Collided
"Mathieu, Jennifer",Afterward,Keller,Texas,,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,Retained - 4/1/22,"Challenge date: March 8, 2022",,,yes,,,,,Afterward
"Westerfeld, Scott",Afterworlds,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Afterworlds
"Westerfeld, Scott",Afterworlds,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS / HS,,Afterworlds
"Westerfeld, Scott",Afterworlds,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,,Afterworlds
"Westerfeld, Scott",Afterworlds,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,13,,Afterworlds
"Bell, Eric",Alan Cole is not a coward,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,3,,Alan Cole is not a coward
"Brugman, Alyssa",Alex as well,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,Alex as well
"Brugman, Alyssa",Alex as well,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2015,3,,Alex as well
"Vande Velde, Vivian","Alison, who went away",McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,"Alison, who went away"
"Vande Velde, Vivian","Alison, who went away",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2001,1,,"Alison, who went away"
"Reynolds, Jason and Brendan Kiely",All American Boys,Baldwinsville Central School District,New York,not applicable,,Formal Challenge Filed,Challenged - Prob. on shelves,challenged in board meeting,,,,,,,January 2022,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Warwick School District,Pennsylvania,,,Formal Challenge Filed,Probably on shelves,,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Madison County Schools,Mississippi,yes,,Informal Challenge,In Restriction While Under Reviuew,Requires parent permission,RETAINED HS ONLY (7/2022),,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Katy ISD,Texas,yes,,Informal Challenge,removed while under investigation.,,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Katy,Texas,yes,10/2021,Internal Review,Restricted to Junior HIgh And Up,,Restricted to Junior HIgh And Up,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Indian River County Schools,Florida,yes,Status Change: 2/28/22,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Middlebury Community Schools,Indiana,,Middle School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Middlebury Community Schools,Indiana,,High School Library,unclear - but think use,Restricted,School board requires parental consent,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Bristow Public Schools,Oklahoma,yes,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",yes,Restricted Permanently,remain in high school library`,High School Only,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,MS,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Pitt County Schools,North Carolina,yes,Profanity,yes,Retained EXCEPT AYDEN MIDDLE SCHOOL,unclear,,,,,,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2017,,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2017,51,,All American Boys
"Reynolds, Jason and Brendan Kiely",All American Boys,Rangeley Lakes Regional School District,Maine,,,,,unclear,,,,,,,,All American Boys
"Penfold, Alexandra",All are Welcome,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,All Are Welcome
"Penfold, Alexandra",All Are Welcome,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,All Are Welcome
"Gonzalez, Xelena",All Around Us,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,All Around Us
"Morrison, Toni",ALL books,Carroll Independent School District,Texas,yes,Teachers Pulled After SD rules,no,Restricted Permanently,,"Based on new guidance from district, teachers had to clean out their classroom libraries",,,,,,,ALL books
"Johnson, George M.",All Boy's Aren't Blue,Bedford County School District,Virginia,yes,February 2022,"Board member asked for review for ""concerning content",Retained,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Liberty Public Schools 53,Missouri,,,Challenged,Retained,2/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Brevard County Public Schools,Florida,yes,LIst 4,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Auburn Enlarged City School District,New York,not applicable,committee send recommendation to board - unclear response. also - recommending that the board review the collections policies.,Formal Challenge Filed,Challenged - Prob. on shelves,Challenged during board meeting; update 1/22 - formal challenge filed,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,North Kansas City Schools,Missouri,yes,follow up to see result of challenge?,Formal Challenge Filed,Removed - Returned,Temporarily Removed while under review - returned to shelves,,Returned to shelves as of 11/23/21,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Ankeny Community School District,Iowa,not applicable,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,Formal Challenge Filed,Retained,The Books Des Moines Suburbs Want to Ban In Schools,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Baldwinsville Central School District,New York,not applicable,,Formal Challenge Filed,Challenged - Prob. on shelves,challenged in board meeting,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Catawba County Schools,North Carolina,n/a,,Formal Challenge Filed,Probably on shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Fayetteville Public Schools,Arkansas,n/a,,Formal Challenge Filed,challenged - prob on shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Francis Howell,Missouri,no,,Formal Challenge Filed,retained,Voted 11-1 to KEEP book,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Gorham School District,Maine,n/a,,Formal Challenge Filed,In progress,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Granite School District,Utah,,October 2021,Formal Challenge Filed,Retained with Restrictions,"9/10 grade need parent permisison 
11/12 grade - can check out",,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Hempfield Area School District,Pennslyvania,n/a,,Formal Challenge Filed,"challenged, retained, escalated to board",,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Humble ISD,Texas,n/a,1/25/22,Formal Challenge Filed,Probably on shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Nixa Public Schools,Missouri,yes,"in all cases, the complaintant requested the book be REMOVED",Formal Challenge Filed,BANNED,"Retained, no restrictions - parents Appealed to board - BANNED",,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Rockwood,Missouri,,,Formal Challenge Filed,Retained,Remain in library w/out restriction,CHALLENGED TO BOARD - Appeal process upheld committee decision,individual parents can still restrict their children from reading,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Salina School District,Kansas,,Salina School Board: Challenged book will remain in the library,Formal Challenge Filed,RETAINED - Challenged again,Retained; Challenged - Retained again 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Spotslyvania County,Virginia,n/a,prob on shelves?,Formal Challenge Filed,"Retained - but challenged to Board, review in process",,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,St. Johns County School District,Florida,n/a,1/22/2022 - MOMS FOR LIBERTY,Formal Challenge Filed,RETAINED 5/2022,to be reviewed early 5/2022,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Union Academy,North Carolina,,,Formal Challenge Filed,Probably on shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Worcester County Public Schools,Maryland,n/a,,Formal Challenge Filed,challenged - prob on shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Shawnee Heights Unified School District 450,Kansas,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Wake County,North Carolina,n/a,,Informal Challenge,Pending - on shelves,criminal complaints filed against school district,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Wallingford-Swarthmore,Pennslyvania,n/a,,Informal Challenge,Probably Still On Shelves,,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Goddard,Kansas,yes,"removed while under review - against published policy after pushback, returned to shelves while policies under review",Informal Challenge,Challenged - Prob on Shelves,11/21 - Returneed to shelves while reviewing book challenge policies,,,,,,,,All Boy's Aren't Blue
"Johnson, George M.",All Boy's Aren't Blue,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,,All Boy's Aren't Blue
